Fill,Fill Start,Fill End,Energy [GeV],Filling Scheme,Stable B. time [h],Turnaround time [h],Injection time [h],Ramp time [h],Particle B1,Particle B2,# Bunches B1,# Bunches B2,# Coll. IP 1/5,# Coll. IP 2,# Coll. IP 8,beta* IP 1 [m],beta* IP 5 [m],beta* IP 2 [m],beta* IP 8 [m],Xing Angle IP 1 [urad],Xing Angle IP 5 [urad],Xing Angle IP 2 [urad],Xing Angle IP 8 [urad],Spectrometer IP 2 [urad],Spectrometer IP 8 [urad],Intensity B1 [1e11 ppb],Intensity B2 [1e11 ppb],Bnch Len B1 [ns],Bnch Len B2 [ns],Emittance B1 H [um],Emittance B1 V [um],Emittance B2 H [um],Emittance B2 V [um],ATLAS Peak Lumi [Hz/ub],CMS Peak Lumi [Hz/ub],ALICE Peak Lumi [Hz/ub],LHCb Peak Lumi [Hz/ub],Lumi Lifetime Start [h],Lumi Lifetime End [h],ATLAS Int. Lumi [1/nb],CMS Int. Lumi [1/nb],ALICE Int. Lumi [1/nb],LHCb Int. Lumi [1/nb]
10379,1731778042000,1731813673000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,7.376389000000000,2.5205560000000000,1.5269440000000001,0.3552780000000000,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.18642100000000000,0.18560099999999999,0.00000000000000000000,0.00000000000000000000,2.666825000000000,2.3682010000000000,2.7292559999999999,2.057230000000000,0.006456000000000000,0.006471000000000000,0.006422000000000000,0.0015620000000000000,15614.80340600000,19028.258519999999,0.09586900000000000,0.09296699999999999,0.10210700000000000,0.025669999999999998
10378,1731744405000,1731778042000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,6.713333000000000,2.7177780000000000,1.7744439999999999,0.355,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.18767700000000001,0.187314000000000,0.00000000000000000000,0.00000000000000000000,2.6044309999999999,2.2430379999999999,2.722649000000000,2.094901000000000,0.006449000000000000,0.0064830000000000000,0.0066070000000000000,0.0015349999999999999,16366.082345999999,17630.062812000000,0.0929650000000000,0.09022500000000000,0.09931100000000000,0.024698000000000001
10377,1731706668000,1731744405000,6799.56,50ns_1240b_1032_1032_557_56bpi_PbPb,7.239167000000000,3.186111000000000,2.136111000000000,0.355,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.18994700000000000,0.18705500000000000,0.000000000000000000,0.00000000000000000000,2.73804900000000,2.3953229999999999,2.592695000000000,2.109215000000000,0.006478000000000000,0.006481000000000000,0.0064590000000000003,0.0015690000000000001,16207.475936999999,17529.485569000000,0.09582100000000000,0.0929390000000000,0.10262600000000000,0.025669000000000001
10376,1731695752000,1731706668000,6799.32,50ns_1240b_1032_1032_557_56bpi_PbPb,0.195,2.736389000000000,1.7369440000000000,0.355,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.18792100000000000,0.18681600000000001,0.00000000000000000000,0.00000000000000000000,2.7425959999999998,2.407103000000000,2.691786000000000,2.1271819999999999,0.006444000000000000,0.006839000000000000,0.006384000000000000,0.0015269999999999999,,,0.0033170000000000001,0.003555000000000000,0.003534000000000,0.0008460000000000000
10375,1731659914000,1731695752000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,6.5697219999999996,3.3802780000000001,2.035,0.3552780000000000,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.17108799999999999,0.17470300000000000,0.00000000000000000000,0.0000000000000000000,2.6308289999999999,2.0412059999999999,2.656542000000000,2.112686000000000,0.006425000000000000,0.006464000000000000,0.00643400000000000,0.001556000000000000,11390.251075000000,17312.265974999998,0.0829480000000000,0.080957000000000,0.09006000000000000,0.021724000000000000
10374,1731623004000,1731659914000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,7.0275,20.284444000000001,1.7561110000000000,0.355,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.15548600000000001,0.1623590000000000,0.00000000000000000000,0.0000000000000000000,2.5462310000000001,1.9753200000000000,2.4578270000000000,2.022354000000000,0.006390000000000000,0.006425000000000000,0.006439000000000000,0.0015540000000000000,10747.354031999999,19575.723957999999,0.07711100000000000,0.07544500000000000,0.08441800000000001,0.020871000000000001
10373,1731608846000,1731623004000,6799.32,,0,0,2.9025,0.3552780000000000,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10372,1731598334000,1731608846000,3566.64,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10371,1731591943000,1731598334000,3566.64,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10370,1731591862000,1731591943000,59.28,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
