Run Fill AccType nEntries
8428 9655 11 6307004
8429 9656 11 260134
8430 9657 11 39486
8431 9657 11 1118091
8432 9657 11 845771
8433 9658 11 54640
8434 9658 11 809972
8435 9658 11 460393
8436 9659 11 6735
8437 9659 11 6639
8438 9659 11 960206
8439 9659 11 131921767
8440 9660 11 8640
8441 9660 11 4969
8442 9660 11 1419022
8443 9661 11 65696
8444 9661 11 6623
8445 9661 11 1000197
8446 9661 11 22844311
8447 9662 11 103617
8448 9662 11 7283
8449 9662 11 876959
8450 9662 11 436410450
8451 9663 11 18091
8452 9663 11 832897
8453 9663 11 260291060
8455 9663 11 31403928
8456 9664 11 983317
8457 9664 11 157488891
8458 9664 11 133415958
8459 9664 11 98662868
8461 9664 11 38439464
8462 9665 11 256118
8463 9666 11 78374
8464 9666 11 7599
8465 9666 11 1009623
8466 9666 11 187342006
8467 9666 11 85400418
8468 9666 11 18622582
8469 9666 11 3267971
8470 9666 11 6413057
8471 9666 11 1229586
8472 9666 11 815862
8473 9666 11 5248671
8474 9666 11 3656876
8475 9666 11 5785110
8476 9666 11 1325695
8477 9666 11 319859
8478 9666 11 1980672
8479 9666 11 6326531
8480 9666 11 478709
8481 9666 11 440082
8482 9666 11 937781
8483 9666 11 154775
8484 9666 11 7559107
8485 9666 11 1234966
8486 9666 11 2796418
8487 9666 11 101382
8488 9666 11 125242
8489 9666 11 5795465
8490 9666 11 992822
8491 9666 11 5249483
8494 9666 11 203498
8495 9667 11 5287
8497 9667 11 1353
8498 9667 11 107235
8499 9667 11 522908
8500 9667 11 9527474
8501 9667 11 2198634
8502 9667 11 7296352
8503 9667 11 357502
8504 9667 11 8247108
8505 9667 11 3000001
8506 9667 11 19367055
8507 9667 11 508658
8508 9667 11 813907
8509 9667 11 281217
8510 9667 11 5204625
8511 9667 11 12385453
8512 9667 11 42339872
